Crossref,Az ESG és az adózás interakciója,https://doi.org/10.55413/545.a2500203.esg
Crossref,The Influence of ESG Organizational Justice on ESG Legitimacy and ESG Voice Behavior: The Role of ESG Value Congruence,https://doi.org/10.22558/jieb.2024.12.37.6.1019
Crossref,Az ESG szabályozás bevezetésének kihívásai Magyarországon,https://doi.org/10.55413/545.a2400403.esg
Crossref,ESG-КРИТЕРИИ И ESG-ФАКТОРЫ В ИНВЕСТИЦИОННОЙ ПОЛИТИКЕ,https://doi.org/10.25683/volbi.2022.61.480
Crossref,"Academic Literature on Compliance Programs, ESG, Corporate Governance, Fraud Prevention, Human Rights, Corruption, Data Protection, and SDGs",https://doi.org/10.37497/esg.v5issue.1614
arXiv,ESG-FTSE: A corpus of news articles with ESG relevance labels and use cases,http://arxiv.org/abs/2405.20218v1
arXiv,Measuring Sustainability Intention of ESG Fund Disclosure using Few-Shot Learning,http://arxiv.org/abs/2407.06893v1
arXiv,Evolution of ESG-focused DLT Research: An NLP Analysis of the Literature,http://arxiv.org/abs/2308.12420v4
arXiv,"ESG, Risk, and (Tail) Dependence",http://arxiv.org/abs/2105.07248v2
arXiv,Asset management with an ESG mandate,http://arxiv.org/abs/2403.11622v2
Crossref,Tőzsdére jutás a vállalati döntéshozatalban - fókuszban az ESG,https://doi.org/10.55413/545.a2500103.esg
Crossref,Hitelesebb ESG jelentés WELL at Scale audit és benchmarking programmal,https://doi.org/10.55413/545.a2400202.esg
Crossref,Az ESG és az adózás interakciója,https://doi.org/10.55413/545.a2500203.esg
Crossref,The Influence of ESG Organizational Justice on ESG Legitimacy and ESG Voice Behavior: The Role of ESG Value Congruence,https://doi.org/10.22558/jieb.2024.12.37.6.1019
Crossref,Az ESG szabályozás bevezetésének kihívásai Magyarországon,https://doi.org/10.55413/545.a2400403.esg
Crossref,Hitelesebb ESG jelentés WELL at Scale audit és benchmarking programmal,https://doi.org/10.55413/545.a2400202.esg
Crossref,ESG-КРИТЕРИИ И ESG-ФАКТОРЫ В ИНВЕСТИЦИОННОЙ ПОЛИТИКЕ,https://doi.org/10.25683/volbi.2022.61.480
Crossref,Screening for UGT1A1 Genotype in Study A5257 Would Have Markedly Reduced Premature Discontinuation of Atazanavir for Hyperbilirubinemia,https://doi.org/10.1093/ofid/ofv085
Crossref,"AI for AI, not AI for science?",https://doi.org/10.1007/s00146-025-02687-y
Crossref,"Review for ""AI for AI: Using AI methods for classifying AI science documents""",https://doi.org/10.1162/qss_a_00223/v1/review1
arXiv,Foundations of GenIR,http://arxiv.org/abs/2501.02842v1
arXiv,Competing Visions of Ethical AI: A Case Study of OpenAI,http://arxiv.org/abs/2601.16513v1
arXiv,Towards The Ultimate Brain: Exploring Scientific Discovery with ChatGPT AI,http://arxiv.org/abs/2308.12400v1
arXiv,Meaningful human control: actionable properties for AI system development,http://arxiv.org/abs/2112.01298v2
arXiv,Need of AI in Modern Education: in the Eyes of Explainable AI (xAI),http://arxiv.org/abs/2408.00025v3
Crossref,Narrow AI vs. General AI vs. Super AI,https://doi.org/10.1201/9781032669182-10
Crossref,Screening for UGT1A1 Genotype in Study A5257 Would Have Markedly Reduced Premature Discontinuation of Atazanavir for Hyperbilirubinemia,https://doi.org/10.1093/ofid/ofv085
Crossref,"AI for AI, not AI for science?",https://doi.org/10.1007/s00146-025-02687-y
Crossref,"Review for ""AI for AI: Using AI methods for classifying AI science documents""",https://doi.org/10.1162/qss_a_00223/v1/review1
arXiv,Foundations of GenIR,http://arxiv.org/abs/2501.02842v1
arXiv,Competing Visions of Ethical AI: A Case Study of OpenAI,http://arxiv.org/abs/2601.16513v1
arXiv,Towards The Ultimate Brain: Exploring Scientific Discovery with ChatGPT AI,http://arxiv.org/abs/2308.12400v1
arXiv,Meaningful human control: actionable properties for AI system development,http://arxiv.org/abs/2112.01298v2
arXiv,Need of AI in Modern Education: in the Eyes of Explainable AI (xAI),http://arxiv.org/abs/2408.00025v3
Crossref,"Love, Love, Love",https://doi.org/10.5040/9781472574763.00000004
Crossref,Love For Love,https://doi.org/10.5040/9781408164501.00000015
Crossref,2016: Love Is Love Is Love Is Love Is Love Is Love Is Love Is Love,https://doi.org/10.5040/9781350071964.ch-015
Crossref,Swann in Love,https://doi.org/10.1093/owc/9780198744894.003.0001
arXiv,I-Love-Q,http://arxiv.org/abs/1302.4499v3
arXiv,Measuring Love Toward AI: Development and Validation of the Love Attitudes Scale toward Artificial Intelligence (LAS-AI),http://arxiv.org/abs/2601.12871v1
arXiv,"Tidal Love numbers of membrane worlds: Europa, Titan, and Co",http://arxiv.org/abs/1504.04574v2
arXiv,Analytic I-Love-C relations for realistic neutron stars,http://arxiv.org/abs/2003.10498v4
arXiv,Lattice gas simulations of dynamical geometry in two dimensions,http://arxiv.org/abs/1002.4841v1
Crossref,"Environmental, Social, and Governance (ESG) Investing for Sustainable Finance",https://doi.org/10.52305/bkxe5215
Crossref,Social and Corporate Governance Factors in ESG Investing,https://doi.org/10.1007/978-3-031-84235-1_4
Crossref,"Environmental, Social, and Governance (ESG) Factors and Green Productivity: The Impacts of Greenwashing and Competence Greenwashing on Sustainable Finance and ESG Investing",https://doi.org/10.61145/vgpq5718
Crossref,"Mandatory Environmental, Social and Governance (ESG) Regulations: ESG Performance, Corporate Finance, and Investment",https://doi.org/10.26686/wgtn.22186426
Crossref,Exploring ESG Integration: Strategies for Sustainable and Responsible Investing,https://doi.org/10.2174/9798898811358125010009
arXiv,ESG-FTSE: A corpus of news articles with ESG relevance labels and use cases,http://arxiv.org/abs/2405.20218v1
arXiv,Measuring Sustainability Intention of ESG Fund Disclosure using Few-Shot Learning,http://arxiv.org/abs/2407.06893v1
Crossref,Narrow AI vs. General AI vs. Super AI,https://doi.org/10.1201/9781032669182-10
arXiv,Creating a Systematic ESG (Environmental Social Governance) Scoring System Using Social Network Analysis and Machine Learning for More Sustainable Company Practices,http://arxiv.org/abs/2309.05607v1
arXiv,How Decentralized is the Governance of Blockchain-based Finance: Empirical Evidence from four Governance Token Distributions,http://arxiv.org/abs/2102.10096v2
arXiv,Crosswashing in Sustainable Investing: Unveiling Strategic Practices Impacting ESG Scores,http://arxiv.org/abs/2407.00751v1
